"#"	"x"	"bhikkhupātimokkhapāḷi"	"pos"	"grammar"	"+case"	"tamil"	"meaning"	"lit. meaning"	"root"	"rt gp"	"sign"	"base"	"construction"	"compound type"	"compound construction"	"abbrev"	"source"	"sentence"	"aṭṭhakathā"
"1"	"1"	"namo"	"ind"	"nom sg of namas"	"+dat"	"நமோ"	"homage (to), respect (to)"	"bending (to), bowing (to)"	"√nam (bend)"	"1"	"a"	""	"√nam + as"	""	""	"NI"	"nidānuddeso"	"<b>namo</b> tassa bhagavato arahato sammāsambuddhassa."	""
"1"	"17"	"tassa"	"pron"	"masc dat sg of ta"	""	"அவருக்கு"	"to him"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"namo <b>tassa</b> bhagavato arahato sammāsambuddhassa."	""
"1"	"5"	"bhagavato"	"noun"	"masc dat sg of bhagavantu"	""	"பகவானுக்கு"	"to the Blessed One, Fortunate one"	"having quality of fortune"	"√bhaj (divide)"	"1"	"a"	""	"√bhaj + a + vantu"	""	""	"NI"	"nidānuddeso"	"namo tassa <b>bhagavato</b> arahato sammāsambuddhassa."	""
"1"	"1"	"arahato"	"noun"	"masc dat sg of arahanta"	""	"அரகந்துக்கு"	"to the awakened being, enlightened person"	"worthy one"	"√arah (be worthy)"	"1"	"a"	""	"√arah + anta"	""	""	"NI"	"nidānuddeso"	"namo tassa bhagavato <b>arahato</b> sammāsambuddhassa."	""
"1"	"1"	"sammāsambuddhassa"	"noun"	"masc dat sg of sammāsambuddha, comp"	""	"முழுமையாக ஞானம் அடைந்தவருக்கு"	"to the perfectly fully awakened being"	""	""	""	""	""	"sammā + sambuddha"	"abyāyibhāva"	"sammā + sambuddha"	"NI"	"nidānuddeso"	"namo tassa bhagavato arahato <b>sammāsambuddhassa</b>."	""
"1"	"1"	"- sammā"	"ind"	""	""	"முழுமையாக"	"perfectly, correctly, thoroughly, fully, totally"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"namo tassa bhagavato arahato <b>sammā</b>sambuddhassa."	""
"1"	"1"	"- sambuddhassa"	"noun"	"masc dat sg of sambuddha, pp of sambujjhati"	""	"ஞானம் அடைந்தவருக்கு"	"to the fully enlightened being"	"fully awakens"	"√budh (wake up)"	"3"	"ya"	""	"saṃ + √budh + ta"	""	""	"NI"	"nidānuddeso"	"namo tassa bhagavato arahato sammā<b>sambuddhassa</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"1"	"suṇātu"	"verb"	"imp 3rd person sg of suṇāti"	"+dat"	"கேளுங்கள்"	"please listen, it must listen"	""	"√su (hear)"	"4"	"ṇā"	"√su + ṇā > suṇā"	"suṇā + ti"	""	""	"NI"	"nidānuddeso"	"<b>suṇātu</b> me bhante saṅgho"	""
"1"	"4"	"me"	"pron"	"1st dat sg of ahaṃ"	""	"என்னை"	"to me"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"suṇātu <b>me</b> bhante saṅgho"	""
