now	result
pātimokkhaṃ	pātimokkhaṃ
paṇṇaraso	pannaraso
anusāvitaṃ	anusāvitaṃ
anusāviyamāne	anusāviyamāne
uddiṭṭhaṃ kho āyasmanto nidānaṃ tatthāyasmante pucchāmi kaccittha parisuddhā dutiyampi pucchāmi kaccittha parisuddhā tatiyampi pucchāmi kaccittha parisuddhā parisuddhetthāyasmanto tasmā tuṇhī evametaṃ dhārayāmi	uddiṭṭhaṃ kho āyasmanto nidānaṃ tatthāyasmante pucchāmi kaccittha parisuddhā dutiyampi pucchāmi kaccittha parisuddhā tatiyampi pucchāmi kaccittha parisuddhā parisuddhetthāyasmanto tasmā tuṇhī evametaṃ dhārayāmīti
nidānuddeso paṭhamo	nidānaṃ niṭṭhitaṃ
apaccakkhāya	appaccakkhāya
patiseveyya	paṭiseveyya
matante	mataṃ te
attūpanāyikaṃ	attupanāyikaṃ
samanuggāhiyamāno	samanuggāhīyamāno
asamanuggāhiyamāno	asamanuggāhīyamāno
pārājikuddeso dutiyo 	pārājikaṃ niṭṭhitaṃ
sukkavisaṭṭhi	sukkavissaṭṭhi
hatthagāhaṃ	hatthaggāhaṃ
veṇigāhaṃ	veṇiggāhaṃ
itthīmatiṃ	itthimatiṃ
taṅkhaṇikāyapi	taṅkhaṇikāyapi
vatthuṃ desetabbaṃ	vatthu desetabbaṃ
mahallakaṃ pana	mahallakaṃ pana
kiñci desaṃ	kiñcidesaṃ
koci deso	kocideso
mā āyasm	māyasm
vadetu	vadatu
alante	alaṃ te
yāvatihaṃ	yāvatīhaṃ
tāvatihaṃ	tāvatīhaṃ
uttariṃ chārattaṃ	uttari chārattaṃ
saṅghādisesuddeso tatiyo	saṅghādiseso niṭṭhito
kaṭhine	kathine
ce uttariṃ nikkhipeyya 	ce uttari nikkhipeyya 
pārivaṭṭakā	pārivattakā 
ce uttariṃ sādiyeyya	ce uttari sādiyeyya 
paccekacīvaracetāpannehi	paccekacīvaracetāpanehi
patigaṇhātu	paṭiggaṇhātu
upasaṅkamatu āyasmā	upasaṅkamatāyasmā
patigaṇhāma	paṭiggaṇhāma
addhānamaggapaṭipannassa	addhānamaggappaṭipannassa
ce uttariṃ hareyya 	ce uttari hareyya
so ca tassa	so tassa
vīyati	viyyati
ce uttariṁ nikkhipeyya	ce uttari nikkhipeyya 
ce uttariṃ vippavaseyya	ce uttari vippavaseyya 
paṭhaviṃ	pathaviṃ
bhūtagāmapātavyatāya	bhūtagāmapātabyatāya
khīyanake	khiyyanake
anāpucchā	anāpucchaṃ
pubbūpagataṃ	pubbupagataṃ
anūpakhajja	anupakhajja
aggalaṭṭhapanāya	aggaḷaṭṭhapanāya
ce uttariṃ appaharitepi 	ce uttari appaharitepi 
suriye	sūriye
bhikkhunūpassayaṃ	bhikkhunupassayaṃ
āmisahetu bhikkhū	āmisahetu therā bhikkhū
pārivaṭṭakā	pārivattakā
abhirūheyya	abhiruheyya
uddhagāminiṃ	uddhaṅgāminiṃ
bhikkhunīparipācitaṃ	bhikkhuniparipācitaṃ
gihīsamārambhā	gihisamārambhā
ce uttariṃ bhuñjeyya	ce uttari bhuñjeyya
nāvābhirūhanasamayo	nāvābhiruhanasamayo
ce uttariṃ paṭiggaṇheyya	ce uttari paṭiggaṇheyya
ce uttariṃ sādiyeyya 	ce uttari sādiyeyya 
ce uttariṃ vaseyya	ce uttari vaseyya
hassadhamme	hasadhamme
apaccuddhārakaṃ	appaccuddhāraṇaṃ
hassāpekkhopi	hasāpekkhopi
anekapariyāyena āvuso 	anekapariyāyenāvuso
evañca pana so	evañca so 
akatānudhammena	akaṭānudhammena
samaṇuddesa antarāyikā dhammā antarāyikā vuttā 	samaṇuddesa antarāyikā dhammā vuttā 
carapi re	cara pire
vyattaṃ	byattaṃ
ājānāmi	jānāmi
aṭṭhikatvā	aṭṭhiṃ katvā 
muddhāvasittassa	muddhābhisittassa
anībhataratanake	aniggataratanake
kaṇḍupaṭicchādiṃ	kaṇḍuppaṭicchādiṃ
sugatacīvarappamāṇaṃ	sugatacīvarappamāṇanti
nappaṭibhāseyya	na paṭibhāseyya
supaṭicchanno	suppaṭicchanno
desissāmīti	desessāmīti
āyudhapāṇissa	āvudhapāṇissa
pādukārūḷhassa	pādukāruḷhassa
upāhanārūḷhassa	upāhanāruḷhassa
chamāya	chamāyaṃ
sekhiyā dhammā niṭṭhitā	sekhiyā niṭṭhitā
tassapāpiyyasikā	tassapāpiyasikā
